N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,2,1,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,2,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,3,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,4,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,5,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,6,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,7,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,8,2339.12,2930.32,2868.62,2115.69,1781.08,1927.07,2785.67,2238.73,0.118664,
15,1,2,9,1955.05,2844.69,2530.36,2107.22,1890.98,3292.63,2287.61,2764.52,0.122957,
15,1,2,10,1955.05,2844.69,2530.36,2107.22,1890.98,3292.63,2287.61,2764.52,0.122957,
,,,,,,,,,,,,,=STDEV.S(M4:M13),
,,,,,,,,,,,,,,
20,1,2,1,2693.21,2451.64,2542.03,2305.42,2769.1,2742.98,2376.73,3185.1,0.131664,
20,1,2,2,2693.21,2451.64,2542.03,2305.42,2769.1,2742.98,2376.73,3185.1,0.131664,
20,1,2,3,2693.21,2451.64,2542.03,2305.42,2769.1,2742.98,2376.73,3185.1,0.131664,
20,1,2,4,2693.21,2451.64,2542.03,2305.42,2769.1,2742.98,2376.73,3185.1,0.131664,
20,1,2,5,2693.21,2451.64,2542.03,2305.42,2769.1,2742.98,2376.73,3185.1,0.131664,
20,1,2,6,1711.42,1990.96,2163.64,1758.89,2484.17,1577.51,2755.43,2837.02,0.107994,
20,1,2,7,1711.42,1990.96,2163.64,1758.89,2484.17,1577.51,2755.43,2837.02,0.107994,
20,1,2,8,1711.42,1990.96,2163.64,1758.89,2484.17,1577.51,2755.43,2837.02,0.107994,
20,1,2,9,1711.42,1990.96,2163.64,1758.89,2484.17,1577.51,2755.43,2837.02,0.107994,
20,1,2,10,1711.42,1990.96,2163.64,1758.89,2484.17,1577.51,2755.43,2837.02,0.107994,
